Date, Close/Last, Volume, Open, High, Low
08/10/2020, $1496.1, 1289530, $1487.18, $1504.075, $1473.08
08/07/2020, $1494.49, 1577826, $1500, $1516.845, $1481.64
08/06/2020, $1500.1, 1995368, $1471.75, $1502.39, $1466
08/05/2020, $1473.61, 1979957, $1469.3, $1482.41, $1463.46
08/04/2020, $1464.97, 1903489, $1476.57, $1485.56, $1458.65
08/03/2020, $1474.45, 2331514, $1486.64, $1490.47, $1465.64
07/31/2020, $1482.96, 3429036, $1505.01, $1508.95, $1454.03
07/30/2020, $1531.45, 1671396, $1497, $1537.87, $1492.22
07/29/2020, $1522.02, 1106534, $1506.32, $1531.2522, $1501.33
07/28/2020, $1500.34, 1702174, $1525.18, $1526.48, $1497.66
07/27/2020, $1530.2, 1245980, $1515.6, $1540.97, $1515.21
07/24/2020, $1511.87, 1544404, $1498.93, $1517.6362, $1488.4
07/23/2020, $1515.68, 1627634, $1566.97, $1571.87, $1507.3918
07/22/2020, $1568.49, 931985, $1560.5, $1570, $1546.1
07/21/2020, $1558.42, 1218645, $1586.99, $1586.99, $1554.28
07/20/2020, $1565.72, 1557252, $1515.26, $1570.29, $1503.6
07/17/2020, $1515.55, 1457010, $1521.62, $1523.44, $1498.42
07/16/2020, $1518, 1519345, $1500, $1518.69, $1486.31
07/15/2020, $1513.64, 1610684, $1523.13, $1535.33, $1498
07/14/2020, $1520.58, 1585016, $1490.31, $1522.95, $1483.5
07/13/2020, $1511.34, 1846424, $1550, $1577.1316, $1505.2427
07/10/2020, $1541.74, 1856704, $1506.15, $1543.83, $1496.54
07/09/2020, $1510.99, 1423322, $1506.45, $1522.72, $1488.085
07/08/2020, $1496, 1249658, $1494.32, $1505.8799, $1485.63
07/07/2020, $1485.18, 1458172, $1490, $1516.8, $1483.55
07/06/2020, $1495.7, 1563997, $1480.06, $1506.59, $1472.86
07/02/2020, $1464.7, 1859480, $1446.94, $1482.95, $1446.42
07/01/2020, $1438.04, 1775167, $1411.1, $1443, $1409.82
06/30/2020, $1413.61, 2042381, $1390.44, $1418.65, $1383.96
06/29/2020, $1394.97, 1810180, $1358.18, $1395.6, $1347.01
06/26/2020, $1359.9, 4267698, $1431.39, $1433.45, $1351.99
06/25/2020, $1441.33, 1230474, $1429.9, $1442.9, $1420
06/24/2020, $1431.97, 1756022, $1461.51, $1475.42, $1429.75
